Employee_ID,Region,Product_Category,Sale_Amount,Sale_Date
1,East,Food,3555.36,2024-11-08 20:56:54
2,West,Furniture,2295.45,2023-11-15 17:46:45
3,North,Sports,1626.79,2023-11-23 15:47:07
4,East,Clothing,4818.49,2023-05-03 12:06:47
5,East,Clothing,782.39,2022-06-27 08:07:36
6,West,Clothing,314.39,2022-05-24 06:01:17
7,North,Electronics,144.74,2024-03-30 02:45:59
8,North,Electronics,3897.63,2022-03-09 17:53:41
9,East,Clothing,377.86,2022-12-19 04:44:08
10,South,Food,2739.35,2023-06-21 01:24:53
11,East,Food,1899.73,2022-06-21 18:32:53
12,East,Electronics,819.85,2024-01-14 14:15:29
13,East,Clothing,3728.92,2024-06-24 11:41:12
14,East,Food,369.53,2024-04-21 06:52:07
15,West,Electronics,1660.13,2023-10-27 19:43:32
16,North,Clothing,2854.74,2024-11-20 02:20:41
17,West,Furniture,2071.84,2022-01-01 19:30:10
18,West,Clothing,1369.83,2023-05-06 14:47:20
19,West,Clothing,4637.4,2022-01-15 23:08:09
20,East,Sports,4661.75,2022-04-26 21:19:25
21,South,Sports,2138.86,2024-09-27 12:28:12
22,North,Furniture,2029.35,2024-10-05 00:13:58
23,South,Furniture,1606.19,2022-04-09 16:20:12
24,West,Clothing,4293.21,2023-08-22 06:05:32
25,West,Food,2882.78,2022-12-25 18:41:33
26,South,Furniture,538.66,2022-10-07 08:55:43
27,South,Clothing,4281.27,2022-11-23 17:57:10
28,South,Electronics,2720.94,2023-09-12 05:45:15
29,West,Sports,2136.4,2023-11-10 18:54:31
30,West,Food,1755.54,2023-05-31 15:26:05
31,North,Clothing,587.19,2024-03-16 09:15:05
32,North,Electronics,4787.84,2023-04-11 04:29:45
33,West,Sports,3732.09,2023-08-21 15:56:57
34,South,Electronics,745.71,2022-02-28 23:07:09
35,South,Clothing,2605.22,2022-04-19 11:21:57
36,North,Furniture,2822.32,2024-08-19 02:33:31
37,West,Sports,922.65,2022-09-06 16:52:07
38,North,Electronics,2193.39,2023-05-30 22:29:49
39,North,Furniture,3264.16,2024-05-19 23:00:47
40,East,Food,1491.65,2022-06-24 09:37:17
41,East,Clothing,1724.88,2024-07-13 05:07:34
42,East,Clothing,697.94,2023-10-08 00:10:56
43,South,Sports,2124.88,2024-09-05 12:56:03
44,West,Electronics,2960.9,2023-02-22 22:55:24
45,West,Food,670.98,2022-04-30 23:43:10
46,West,Sports,3112.44,2022-11-27 12:38:45
47,West,Sports,2049.19,2024-06-02 19:45:30
48,East,Electronics,3423.09,2024-10-21 12:31:47
49,South,Food,1642.7,2022-07-06 11:08:17
50,South,Electronics,2885.65,2024-07-15 05:42:19
51,East,Clothing,3102.73,2022-05-12 22:27:04
52,South,Furniture,3483.49,2023-03-20 16:00:23
53,East,Clothing,3809.0,2023-02-18 15:15:31
54,West,Clothing,768.12,2024-12-13 03:16:00
55,East,Sports,4829.69,2022-02-24 14:31:31
56,West,Clothing,4233.86,2022-11-04 06:23:32
57,West,Food,2855.36,2022-02-17 12:14:51
58,North,Clothing,4462.76,2022-05-15 22:33:02
59,East,Food,1973.92,2023-10-24 18:25:37
60,North,Electronics,268.0,2022-09-24 21:37:25
61,East,Sports,3662.45,2024-01-26 14:15:57
62,East,Food,4722.39,2023-01-14 22:24:04
63,North,Clothing,893.09,2024-12-14 22:01:16
64,North,Sports,3254.98,2022-03-31 22:18:36
65,East,Sports,4085.79,2022-09-02 04:09:24
66,South,Food,4534.83,2022-04-10 03:52:30
67,West,Food,1454.99,2024-09-11 23:41:00
68,North,Furniture,730.8,2024-02-05 03:09:47
69,West,Furniture,1314.47,2022-12-30 07:53:44
70,South,Sports,2930.84,2022-12-21 01:07:25
71,South,Furniture,4601.77,2024-06-19 16:24:02
72,South,Clothing,2954.43,2023-09-11 23:53:53
73,North,Electronics,4606.14,2023-03-31 15:15:10
74,South,Sports,3873.18,2024-03-09 08:47:07
75,North,Electronics,3032.11,2022-09-24 22:47:18
76,South,Furniture,206.81,2022-09-04 15:53:51
77,West,Food,1732.07,2022-01-09 11:09:17
78,West,Sports,381.55,2023-03-16 22:47:40
79,East,Furniture,1678.99,2022-10-17 22:37:05
80,West,Clothing,405.43,2023-12-01 08:05:31
81,East,Sports,922.3,2022-12-31 06:51:33
82,West,Sports,2112.36,2022-08-23 19:32:02
83,North,Food,2622.94,2022-04-16 21:38:13
84,West,Sports,1163.99,2024-09-14 10:43:29
85,East,Food,3689.63,2022-04-05 07:54:42
86,East,Furniture,2992.79,2022-08-16 07:21:41
87,South,Clothing,3489.63,2024-12-27 04:00:48
88,North,Clothing,3690.55,2024-08-23 17:24:06
89,West,Sports,3661.91,2024-09-24 16:04:14
90,South,Sports,4687.55,2024-01-21 01:28:17
91,West,Furniture,1262.38,2022-01-13 01:58:45
92,West,Food,1423.76,2023-01-21 21:55:13
93,South,Clothing,561.59,2023-12-03 23:23:58
94,South,Food,3003.67,2023-01-27 14:12:00
95,South,Furniture,2036.41,2022-07-02 19:06:13
96,South,Clothing,2531.37,2022-03-13 09:24:54
97,South,Clothing,932.13,2023-03-19 08:12:19
98,West,Electronics,3280.4,2024-12-01 03:09:07
99,South,Furniture,3133.19,2024-06-02 18:15:00
100,North,Furniture,1397.44,2024-07-19 19:53:43
101,East,Electronics,2380.54,2024-12-18 18:30:37
102,South,Food,4482.07,2023-09-16 03:30:27
103,South,Electronics,3890.15,2023-11-07 05:24:08
104,West,Furniture,1212.02,2024-04-04 10:43:46
105,South,Food,4406.39,2022-03-31 03:00:33
106,South,Clothing,429.83,2022-03-21 06:46:13
107,South,Electronics,2128.25,2023-01-21 02:22:38
108,West,Food,492.58,2023-08-24 04:30:54
109,South,Food,4628.65,2024-07-08 19:26:38
110,East,Food,299.44,2023-10-28 06:45:50
111,West,Electronics,841.08,2024-08-16 00:21:25
112,East,Clothing,4583.7,2023-12-12 10:41:58
113,West,Food,2952.57,2023-06-16 18:47:15
114,South,Electronics,3996.42,2024-06-21 10:34:22
115,East,Furniture,180.39,2024-08-30 23:09:15
116,West,Electronics,2153.57,2024-01-03 08:40:08
117,North,Electronics,4923.88,2024-11-20 13:46:11
118,South,Electronics,2941.11,2022-01-18 13:09:19
119,West,Food,4263.45,2023-08-04 06:36:09
120,North,Electronics,4821.44,2024-02-07 04:50:20
121,West,Furniture,3456.7,2024-11-20 15:07:28
122,North,Food,1705.39,2022-10-21 19:33:23
123,South,Furniture,1612.17,2023-01-04 21:00:17
124,East,Sports,449.26,2024-06-09 12:47:54
125,North,Electronics,2196.08,2023-12-29 02:07:32
126,West,Food,4585.41,2022-09-25 10:51:43
127,South,Food,2442.51,2022-06-19 17:53:26
128,North,Electronics,4563.88,2024-04-23 19:37:50
129,West,Clothing,4104.0,2022-03-15 10:56:28
130,West,Clothing,4922.52,2023-11-25 10:56:35
131,West,Furniture,4743.71,2022-12-14 03:37:34
132,North,Electronics,3561.77,2023-08-24 20:38:38
133,North,Electronics,4368.96,2023-02-02 19:54:12
134,North,Sports,3765.58,2024-09-13 18:57:49
135,East,Clothing,3546.63,2024-01-17 23:07:18
136,North,Clothing,3606.24,2024-12-25 16:45:34
137,North,Electronics,3633.11,2022-06-08 21:41:56
138,North,Furniture,1959.15,2022-02-27 13:56:56
139,East,Electronics,2175.46,2022-03-25 07:27:23
140,North,Furniture,1540.95,2023-06-29 13:46:20
141,West,Clothing,826.48,2023-07-30 02:44:45
142,North,Sports,2346.37,2023-04-23 13:12:35
143,West,Food,4509.75,2023-07-20 09:22:42
144,West,Clothing,3291.2,2024-11-13 22:32:04
145,West,Furniture,375.28,2023-05-05 09:58:19
146,East,Electronics,4074.88,2022-01-23 15:36:36
147,East,Clothing,4683.47,2023-08-08 21:38:30
148,East,Sports,4164.17,2024-03-08 06:13:12
149,North,Furniture,3664.95,2022-07-18 19:54:00
150,West,Electronics,835.59,2023-05-27 20:15:26
151,East,Food,1810.1,2022-11-14 15:16:43
152,East,Furniture,2869.91,2023-07-25 22:39:40
153,North,Electronics,476.62,2022-05-28 15:57:27
154,East,Food,620.72,2022-12-03 09:53:55
155,North,Electronics,4677.84,2024-01-21 01:45:17
156,South,Food,3543.19,2023-06-23 08:53:57
157,East,Food,1447.93,2022-10-20 04:56:16
158,South,Food,1704.07,2024-11-12 00:45:56
159,North,Electronics,1983.7,2024-04-29 03:45:16
160,West,Food,467.85,2024-08-26 15:07:36
161,East,Furniture,3721.97,2022-08-14 17:36:18
162,North,Sports,966.49,2024-08-28 06:31:42
163,West,Sports,4045.09,2022-10-29 11:16:33
164,West,Food,4244.77,2023-02-07 18:12:03
165,South,Sports,3228.33,2022-02-27 22:52:46
166,North,Sports,3872.29,2024-01-03 17:29:42
167,West,Food,941.99,2022-04-20 03:12:59
168,East,Food,2922.1,2024-10-19 12:42:53
169,East,Furniture,3416.32,2023-02-07 19:00:39
170,South,Clothing,3341.65,2022-12-16 20:22:10
171,West,Electronics,674.72,2024-01-19 13:38:00
172,North,Food,1787.47,2024-11-18 19:55:54
173,East,Food,1692.68,2023-04-17 05:01:26
174,West,Sports,2905.38,2023-03-17 19:24:23
175,West,Furniture,3849.66,2023-07-31 23:26:01
176,South,Sports,2895.89,2023-02-09 02:20:39
177,East,Food,3798.65,2023-04-08 13:05:23
178,East,Food,584.94,2022-09-18 20:17:45
179,North,Sports,4402.88,2022-03-14 15:58:30
180,East,Food,2729.42,2024-12-06 13:17:09
181,North,Clothing,283.74,2024-04-05 10:39:46
182,East,Electronics,3251.74,2022-06-15 11:31:39
183,South,Electronics,2635.0,2023-12-19 11:14:37
184,East,Electronics,1179.81,2024-07-10 00:50:01
185,North,Clothing,3845.68,2023-03-02 11:04:37
186,North,Food,4674.48,2022-06-24 10:45:17
187,South,Sports,1681.15,2024-02-04 11:16:16
188,East,Furniture,2520.19,2022-09-06 12:04:19
189,East,Food,728.06,2023-09-03 14:58:32
190,South,Clothing,4656.02,2024-07-30 11:14:46
191,East,Clothing,1662.1,2022-04-21 17:27:38
192,East,Electronics,1054.44,2024-03-22 08:22:18
193,North,Food,2444.3,2023-06-03 14:41:32
194,East,Electronics,312.08,2023-08-02 04:25:53
195,East,Furniture,1338.9,2022-12-27 08:19:01
196,South,Electronics,431.52,2023-06-06 00:04:24
197,South,Furniture,724.12,2023-01-22 15:52:13
198,West,Clothing,649.57,2023-07-23 09:38:16
199,North,Electronics,4374.86,2024-06-10 00:28:54
200,East,Electronics,4659.13,2024-11-16 00:27:18
201,East,Sports,2425.16,2023-12-16 00:30:33
202,West,Clothing,3189.04,2023-12-29 22:45:53
203,East,Sports,3509.92,2022-02-23 05:14:03
204,North,Furniture,2017.44,2024-11-12 14:12:41
205,West,Furniture,1914.03,2022-08-04 18:28:51
206,North,Clothing,3410.29,2022-12-22 00:58:36
207,West,Furniture,1945.9,2024-01-09 12:21:09
208,West,Clothing,2946.95,2024-05-12 16:35:06
209,South,Furniture,2624.44,2023-11-14 12:51:25
210,North,Food,2669.86,2024-11-06 06:31:08
211,East,Electronics,4163.86,2024-07-12 11:07:10
